total_fpackets,total_fvolume,max_fpktl,max_bpktl,duration,fpsh_cnt,total_fhlen,label
688,123709,1581,11350,250317,504,13784,1
10,1463,584,2878,863568,3,212,1
11,1312,269,2485,326799,5,232,1
8,1374,617,2878,611727,3,172,1
10,1463,584,2878,62707,3,212,1
9,1434,617,1466,564708,3,192,1
5,454,208,593,200123,1,112,1
10,1263,386,1466,67370,3,212,1
9,1403,584,1466,434547,3,192,1
5,454,208,593,190143,1,112,1
159,31126,1373,2884,211321,113,3192,1
12,1371,269,2484,909796,5,252,1
8,1374,617,2878,392496,3,172,1
9,1403,584,2878,406776,3,192,1
9,1203,386,2878,755414,3,192,1
8,1374,617,1466,430162,3,172,1
13,3434,1464,2878,472973,6,272,1
23,12457,3719,5702,457800,10,472,1
14,5623,3082,6228,942907,7,292,1
10,1263,386,1466,149454,3,212,1
13,6471,3673,7753,418350,6,272,1
12,3384,1464,2878,477207,6,252,1
12,3261,1159,1514,563466,7,252,1
7,1283,584,2878,372880,3,152,1
11,10016,4353,4807,448603,5,232,1
12,1372,269,2484,251263,5,252,1
124,24446,1373,3172,785895,92,2492,1
15,6589,3673,4946,418460,6,312,1
15,8452,3080,4290,545917,7,312,1
20,12292,3683,9201,711572,10,412,1
7,1314,617,2878,346111,3,152,1
13,3444,1464,2878,481377,6,272,1
7,1314,617,2878,348431,3,152,1
7,1283,584,2878,532864,3,152,1
5,411,165,593,215967,1,112,1
5,411,165,593,236190,1,112,1
6,471,165,593,223857,1,132,1
5,454,208,593,200712,1,112,1
12,1372,269,2485,236111,5,252,1
9,1203,386,1466,776130,3,192,1
100,18094,1373,5435,402070,76,2012,1
10,12809,6042,4851,474131,4,212,1
3,334,208,66,127903,1,72,1
1,66,66,0,0,0,32,1
9,1203,386,2878,292118,3,192,1
11,1765,617,1466,610642,4,232,1
12,1371,269,2485,312560,5,252,1
14,2582,1229,8526,472370,3,292,1
9,2275,1222,12204,804545,3,192,1
10,1469,584,2878,655245,3,224,1
931,178824,1466,14174,215105,597,18656,1
11,1523,584,1466,658580,3,232,1
12,1805,386,1778,309778,5,252,1
10,1705,617,1466,597518,4,212,1
6,933,582,210,523250,2,132,1
5,454,208,593,286882,1,112,1
9,1434,617,2878,573004,3,192,1
10,1463,584,2878,333500,3,212,1
6,1388,571,1466,406992,2,132,1
11,1607,356,2485,242928,6,232,1
9,1434,617,2878,586104,3,192,1
5,454,208,593,196733,1,112,1
11,3334,2040,1466,114172,4,232,1
9,1203,386,2878,338920,3,192,1
9,1445,628,2878,591342,3,192,1
11,3340,2040,2878,114265,4,244,1
1469,297822,1581,31529,8070,946,34852,1
5,817,571,1466,407875,1,112,1
11,1523,584,2878,342346,3,232,1
10,1463,584,2878,436813,3,212,1
9,1434,617,2878,942378,3,192,1
9,1403,584,1466,403969,3,192,1
9,1434,617,2878,947629,3,192,1
5,454,208,593,188840,1,112,1
442,101781,1451,8526,877265,307,8876,1
12,1371,269,2485,242354,5,252,1
9,1203,386,2878,591050,3,192,1
518,187508,1581,7114,122458,348,10912,1
10,1494,617,2878,251951,3,212,1
5,454,208,593,194179,1,112,1
